1129,"Rudolf Freund",
1130,"D. Mates",
1131,"Vikas Gupta",
1132,"Jian Yang",
1133,"Sangeeta Soni",
1134,"Majid Taghiloo",
1135,"Giorgio Bacci",
1136,"Jerome Feret",
1137,"Jean-Louis Giavitto",
1138,"Zyed Bouzarkouna",
1139,"Denis Vautrin",
1140,"Lucas Dias H. Sampaio",
1141,"Fei Wei",
1142,"Edmund K. Burke",
1143,"B. G. Kodge",
1144,"Hyungjun Jang",
1145,"Reshma. p",
1146,"Leonid A. Ostromuhov",
1147,"Jitesh Dundas",
1148,"K. R Seeja",
1149,"H. O. Ghaffari",
1150,"Simon K Layton",
1151,"A. Kucerova",
1152,"I. Boulkaibet",
1153,"Muhammad Mahbubur Rahman",
1154,"F. Penunuri",
1155,"Ziad G. Ghauch",
1156,"Kin Cheong Sou",
1157,"Alena Zemanová",
1158,"Ladislav Svoboda",
1160,"A. W. M.",
1162,"Maximiliano Barchiesi",
1163,"Amani Tahat",
1164,"R. P. Kramer",
1165,"Yuriy Ostapov",
1166,"Kim Gol",
1167,"Gol Kim",
1168,"Diego Fabregat-Traver",
1170,"Hisham A. H. Al-Khazali",
1172,"Romain Testylier",
1174,"Haibin Wang",
1175,"Rashmi Rameshwari",
1176,"R. Bahroun",
1177,"Suprativ Saha",
1179,"Tushar Rao",
1180,"H. Boyer",
1182,"F. Garde",
1183,"A. J. P. Lauret",
1184,"L. Adelard",
1185,"T. Ghosh",
1186,"Ali Hamada Fakra",
1187,"Franck Lucas",
1189,"Harry Boyer",
1191,"Ted Soubdhan",
1192,"Yufei Han",
1193,"Tamal Ghosh",
1197,"Thierry Berthomieu",
1198,"Laetitia Adelard",
1200,"François Garde",
1202,"Antoine Karam",
1203,"Natalia V. Pavlova",
1204,"Istvan Miklos",
1206,"F. Gubarev",
1207,"Taha Hassan",
1208,"Tommaso Urli",
1209,"Harimalala Razanamanampisoa",
1210,"Galina Sherman",
1211,"Adrian Adewunmi",
1212,"Ion Petre",
1213,"Plamen L. Simeonov",
1214,"Utkarsh R. Patel",
1215,"Xiaolin Wang",
1217,"Stephanie Foan",
1218,"Peer-Olaf Siebers",
1219,"Mazlina Abdul Majid",
1220,"Yihui Liu",
1221,"Grazziela P. Figueredo",
1222,"Christopher M. Roadknight",
1223,"Piero Triverio",
1224,"Alexandru Cioaca",
1225,"Guoming Tang",
1226,"Mauricio González Avilés",
1228,"Sabyasachi Mukhopadhyay",
1229,"A. W. M. van Schijndel",
1232,"A. T. Vermeltfoort",
1233,"Jun-ichi Koga",
1234,"Saeed Vatankhah",
1235,"Chanda Panse",
1236,"Vena Pearl Bongolan",
1238,"F. Allen",
1239,Doreswamy,
1242,"Benjamin wilking",
1243,"Geetika Silakari Pandey",
1244,"Michal Beneš",
1245,"Nalika Ulapane",
1246,"Debadatta Dash",
1247,"Nadia Otmani Benmehidi",
1248,"N. B. Melnikova",
1249,"Alexei Botchkarev",
1250,"Md Pavel Mahmud",
1251,"Mahdi Moeini",
1252,"Hoai An Le Thi",
1254,"Mireille Bossy",
1255,"Nermina Zaimovic-Uzunovic",
1256,"Eldad Haber",
1257,"Pokkuluri Kiran Sree",
1258,"Yuhan Jia",
1259,"Christian Neuwirth",
1260,"Dipan Lal Shaw",
1262,"Seyed Basir Shariat Razavi",
1263,"Pavel Sakov",
1264,"Ynte Vanderhoydonc",
1266,"Abhijit Chandra",
1270,"Loc V. Tran",
1271,"Joe Alexandersen",
1272,"Dong Qiang",
1273,"Emre Biyikli",
1274,"Tehuan Chen",
1275,"Ahmadreza Baghaie",
1276,"Shixin Xú",
1277,"Adrian-Ioan Lita",
1278,"Vladimír Lukeš",
1279,"O. Mendoza-Trejo",
1280,"S. M. Vidanagamachchi",
1281,"Kyeong Soo Kim",
1282,"Stanislav Sysala",
1284,"A. Ukil",
1285,"Pierre Jehel",
1286,"S. Nayak",
1287,"Tom Crick",
1288,"Q. He",
1289,"Aristides T. Hatjimihail",
1290,"Páll Szilárd",
1291,"A. M. Brener",
1292,"Stephan C Kramer",
1293,"Qinran Hu",
1294,"Conrado Borraz-Sanchez",
1295,"Merly F. Tataro",
1296,"Marian G. Arada",
1297,"Brian P. Hanley",
1298,"René Heideklang",
1299,"Denis Oyaro",
1300,"Oleg Iliev",
1301,"Ehsan Fattahi",
1302,"Brian Drawert",
1303,"Muhibur Rasheed",
1304,"Nelson O. Ogbogu",
1306,"Mohamed Abuella",
1307,"Peetak Mitra",
1308,"G. S. Bhamra",
1309,"O. Rokoš",
